"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate
"Total","2004","2004","43 years","43",,,11709,4610120,254.0
,"2004","2004","44 years","44","Female","F",4742,2355630,201.3
,"2004","2004","44 years","44","Male","M",7705,2323552,331.6
"Total","2004","2004","44 years","44",,,12447,4679182,266.0
,"2004","2004","45 years","45","Female","F",5140,2271294,226.3
,"2004","2004","45 years","45","Male","M",8465,2215272,382.1
"Total","2004","2004","45 years","45",,,13605,4486566,303.2
,"2004","2004","46 years","46","Female","F",5727,2278419,251.4
,"2004","2004","46 years","46","Male","M",9078,2227648,407.5
"Total","2004","2004","46 years","46",,,14805,4506067,328.6
,"2004","2004","47 years","47","Female","F",5904,2265496,260.6
,"2004","2004","47 years","47","Male","M",9905,2199700,450.3
"Total","2004","2004","47 years","47",,,15809,4465196,354.0
,"2004","2004","48 years","48","Female","F",6114,2179769,280.5
,"2004","2004","48 years","48","Male","M",10254,2107717,486.5
"Total","2004","2004","48 years","48",,,16368,4287486,381.8
,"2004","2004","49 years","49","Female","F",6528,2189528,298.1
,"2004","2004","49 years","49","Male","M",10812,2130419,507.5
"Total","2004","2004","49 years","49",,,17340,4319947,401.4
,"2004","2004","50 years","50","Female","F",6897,2102958,328.0
,"2004","2004","50 years","50","Male","M",11468,2018146,568.2
"Total","2004","2004","50 years","50",,,18365,4121104,445.6
,"2004","2004","51 years","51","Female","F",7081,2048324,345.7
,"2004","2004","51 years","51","Male","M",12031,1961738,613.3
"Total","2004","2004","51 years","51",,,19112,4010062,476.6
,"2004","2004","52 years","52","Female","F",7324,1976684,370.5
,"2004","2004","52 years","52","Male","M",12644,1891504,668.5
"Total","2004","2004","52 years","52",,,19968,3868188,516.2
,"2004","2004","53 years","53","Female","F",7550,1937112,389.8
,"2004","2004","53 years","53","Male","M",13101,1845760,709.8
"Total","2004","2004","53 years","53",,,20651,3782872,545.9
,"2004","2004","54 years","54","Female","F",8269,1934545,427.4
,"2004","2004","54 years","54","Male","M",13405,1847897,725.4
"Total","2004","2004","54 years","54",,,21674,3782442,573.0
,"2004","2004","55 years","55","Female","F",8760,1859415,471.1
,"2004","2004","55 years","55","Male","M",14012,1758586,796.8
"Total","2004","2004","55 years","55",,,22772,3618001,629.4
,"2004","2004","56 years","56","Female","F",9456,1850723,510.9
,"2004","2004","56 years","56","Male","M",14806,1753133,844.5
"Total","2004","2004","56 years","56",,,24262,3603856,673.2
,"2004","2004","57 years","57","Female","F",10556,1933353,546.0
,"2004","2004","57 years","57","Male","M",16282,1830349,889.6
"Total","2004","2004","57 years","57",,,26838,3763702,713.1
,"2004","2004","58 years","58","Female","F",9234,1455355,634.5
,"2004","2004","58 years","58","Male","M",13859,1364399,1015.8
"Total","2004","2004","58 years","58",,,23093,2819754,819.0
,"2004","2004","59 years","59","Female","F",9757,1449103,673.3
,"2004","2004","59 years","59","Male","M",14441,1352760,1067.5
"Total","2004","2004","59 years","59",,,24198,2801863,863.6
,"2004","2004","60 years","60","Female","F",10618,1423305,746.0
,"2004","2004","60 years","60","Male","M",15745,1315754,1196.7
"Total","2004","2004","60 years","60",,,26363,2739059,962.5
,"2004","2004","61 years","61","Female","F",12004,1482907,809.5
,"2004","2004","61 years","61","Male","M",17418,1365695,1275.4
"Total","2004","2004","61 years","61",,,29422,2848602,1032.9
,"2004","2004","62 years","62","Female","F",11782,1316213,895.1
,"2004","2004","62 years","62","Male","M",16972,1199144,1415.3
"Total","2004","2004","62 years","62",,,28754,2515357,1143.1
,"2004","2004","63 years","63","Female","F",11937,1226632,973.2
,"2004","2004","63 years","63","Male","M",17039,1108921,1536.5
"Total","2004","2004","63 years","63",,,28976,2335553,1240.6
,"2004","2004","64 years","64","Female","F",12561,1188741,1056.7
,"2004","2004","64 years","64","Male","M",17458,1070816,1630.3
"Total","2004","2004","64 years","64",,,30019,2259557,1328.5
,"2004","2004","65 years","65","Female","F",13158,1132615,1161.7
,"2004","2004","65 years","65","Male","M",18136,1015816,1785.4
"Total","2004","2004","65 years","65",,,31294,2148431,1456.6
,"2004","2004","66 years","66","Female","F",13962,1112641,1254.9
,"2004","2004","66 years","66","Male","M",18932,986009,1920.1
"Total","2004","2004","66 years","66",,,32894,2098650,1567.4
,"2004","2004","67 years","67","Female","F",14607,1052462,1387.9
,"2004","2004","67 years","67","Male","M",19426,922625,2105.5
"Total","2004","2004","67 years","67",,,34033,1975087,1723.1
,"2004","2004","68 years","68","Female","F",15387,1035666,1485.7
,"2004","2004","68 years","68","Male","M",20402,895181,2279.1
"Total","2004","2004","68 years","68",,,35789,1930847,1853.5
,"2004","2004","69 years","69","Female","F",16415,1037034,1582.9
,"2004","2004","69 years","69","Male","M",21559,883380,2440.5
"Total","2004","2004","69 years","69",,,37974,1920414,1977.4
,"2004","2004","70 years","70","Female","F",17435,948585,1838.0
,"2004","2004","70 years","70","Male","M",21909,796318,2751.3
"Total","2004","2004","70 years","70",,,39344,1744903,2254.8
,"2004","2004","71 years","71","Female","F",18663,956125,1951.9
,"2004","2004","71 years","71","Male","M",23279,791222,2942.2
"Total","2004","2004","71 years","71",,,41942,1747347,2400.3
,"2004","2004","72 years","72","Female","F",20717,944588,2193.2
,"2004","2004","72 years","72","Male","M",24605,769205,3198.8
"Total","2004","2004","72 years","72",,,45322,1713793,2644.5
,"2004","2004","73 years","73","Female","F",22002,939444,2342.0
,"2004","2004","73 years","73","Male","M",26518,752487,3524.0
"Total","2004","2004","73 years","73",,,48520,1691931,2867.7
,"2004","2004","74 years","74","Female","F",24429,951203,2568.2
,"2004","2004","74 years","74","Male","M",28125,744927,3775.5
"Total","2004","2004","74 years","74",,,52554,1696130,3098.5
,"2004","2004","75 years","75","Female","F",25633,894247,2866.4
,"2004","2004","75 years","75","Male","M",29456,686874,4288.4
"Total","2004","2004","75 years","75",,,55089,1581121,3484.2
,"2004","2004","76 years","76","Female","F",28040,895466,3131.3
,"2004","2004","76 years","76","Male","M",31094,671287,4632.0
"Total","2004","2004","76 years","76",,,59134,1566753,3774.3
,"2004","2004","77 years","77","Female","F",30070,868370,3462.8
,"2004","2004","77 years","77","Male","M",32307,633496,5099.8
"Total","2004","2004","77 years","77",,,62377,1501866,4153.3
,"2004","2004","78 years","78","Female","F",32107,837128,3835.4
,"2004","2004","78 years","78","Male","M",33271,588554,5653.0
"Total","2004","2004","78 years","78",,,65378,1425682,4585.7
,"2004","2004","79 years","79","Female","F",34588,826108,4186.9
,"2004","2004","79 years","79","Male","M",34180,559869,6105.0
"Total","2004","2004","79 years","79",,,68768,1385977,4961.7
,"2004","2004","80 years","80","Female","F",36381,777143,4681.4
,"2004","2004","80 years","80","Male","M",34934,509590,6855.3
"Total","2004","2004","80 years","80",,,71315,1286733,5542.3
,"2004","2004","81 years","81","Female","F",38282,724777,5281.9
,"2004","2004","81 years","81","Male","M",34504,464757,7424.1
"Total","2004","2004","81 years","81",,,72786,1189534,6118.9
,"2004","2004","82 years","82","Female","F",40870,689937,5923.7
,"2004","2004","82 years","82","Male","M",35518,425169,8353.9
"Total","2004","2004","82 years","82",,,76388,1115106,6850.3
,"2004","2004","83 years","83","Female","F",41932,641326,6538.3
,"2004","2004","83 years","83","Male","M",35135,381825,9201.9
"Total","2004","2004","83 years","83",,,77067,1023151,7532.3
,"2004","2004","84 years","84","Female","F",42658,584240,7301.5
,"2004","2004","84 years","84","Male","M",33270,329740,10089.8
"Total","2004","2004","84 years","84",,,75928,913980,8307.4
,"2004","2004","85 years","85","Female","F",41135,Not Applicable,Not Applicable
,"2004","2004","85 years","85","Male","M",29981,Not Applicable,Not Applicable
"Total","2004","2004","85 years","85",,,71116,Not Applicable,Not Applicable
,"2004","2004","86 years","86","Female","F",41718,Not Applicable,Not Applicable
,"2004","2004","86 years","86","Male","M",29575,Not Applicable,Not Applicable
"Total","2004","2004","86 years","86",,,71293,Not Applicable,Not Applicable
,"2004","2004","87 years","87","Female","F",41332,Not Applicable,Not Applicable
,"2004","2004","87 years","87","Male","M",26764,Not Applicable,Not Applicable
"Total","2004","2004","87 years","87",,,68096,Not Applicable,Not Applicable
,"2004","2004","88 years","88","Female","F",40458,Not Applicable,Not Applicable
,"2004","2004","88 years","88","Male","M",24777,Not Applicable,Not Applicable
"Total","2004","2004","88 years","88",,,65235,Not Applicable,Not Applicable
,"2004","2004","89 years","89","Female","F",39830,Not Applicable,Not Applicable
,"2004","2004","89 years","89","Male","M",22570,Not Applicable,Not Applicable
"Total","2004","2004","89 years","89",,,62400,Not Applicable,Not Applicable
,"2004","2004","90 years","90","Female","F",37782,Not Applicable,Not Applicable
,"2004","2004","90 years","90","Male","M",19583,Not Applicable,Not Applicable
"Total","2004","2004","90 years","90",,,57365,Not Applicable,Not Applicable
,"2004","2004","91 years","91","Female","F",35252,Not Applicable,Not Applicable
,"2004","2004","91 years","91","Male","M",16594,Not Applicable,Not Applicable
"Total","2004","2004","91 years","91",,,51846,Not Applicable,Not Applicable
,"2004","2004","92 years","92","Female","F",31494,Not Applicable,Not Applicable
,"2004","2004","92 years","92","Male","M",13814,Not Applicable,Not Applicable
"Total","2004","2004","92 years","92",,,45308,Not Applicable,Not Applicable
,"2004","2004","93 years","93","Female","F",28401,Not Applicable,Not Applicable
,"2004","2004","93 years","93","Male","M",11086,Not Applicable,Not Applicable
"Total","2004","2004","93 years","93",,,39487,Not Applicable,Not Applicable
,"2004","2004","94 years","94","Female","F",24564,Not Applicable,Not Applicable
,"2004","2004","94 years","94","Male","M",9091,Not Applicable,Not Applicable
"Total","2004","2004","94 years","94",,,33655,Not Applicable,Not Applicable
,"2004","2004","95 years","95","Female","F",20334,Not Applicable,Not Applicable
,"2004","2004","95 years","95","Male","M",6740,Not Applicable,Not Applicable
"Total","2004","2004","95 years","95",,,27074,Not Applicable,Not Applicable
,"2004","2004","96 years","96","Female","F",16781,Not Applicable,Not Applicable
,"2004","2004","96 years","96","Male","M",5257,Not Applicable,Not Applicable
"Total","2004","2004","96 years","96",,,22038,Not Applicable,Not Applicable
,"2004","2004","97 years","97","Female","F",13240,Not Applicable,Not Applicable
,"2004","2004","97 years","97","Male","M",3622,Not Applicable,Not Applicable
"Total","2004","2004","97 years","97",,,16862,Not Applicable,Not Applicable
,"2004","2004","98 years","98","Female","F",9879,Not Applicable,Not Applicable
,"2004","2004","98 years","98","Male","M",2487,Not Applicable,Not Applicable
"Total","2004","2004","98 years","98",,,12366,Not Applicable,Not Applicable
,"2004","2004","99 years","99","Female","F",7392,Not Applicable,Not Applicable
,"2004","2004","99 years","99","Male","M",1714,Not Applicable,Not Applicable
"Total","2004","2004","99 years","99",,,9106,Not Applicable,Not Applicable
,"2004","2004","100+ years","100","Female","F",15531,Not Applicable,Not Applicable
,"2004","2004","100+ years","100","Male","M",2995,Not Applicable,Not Applicable
"Total","2004","2004","100+ years","100",,,18526,Not Applicable,Not Applicable
,"2004","2004","Not Stated","NS","Female","F",72,Not Applicable,Not Applicable
,"2004","2004","Not Stated","NS","Male","M",274,Not Applicable,Not Applicable
"Total","2004","2004","Not Stated","NS",,,346,Not Applicable,Not Applicable
"Total","2004","2004",,,,,2397615,292805298,818.8
,"2005","2005","< 1 year","0","Female","F",12422,1956682,634.9
,"2005","2005","< 1 year","0","Male","M",16018,2047711,782.2
"Total","2005","2005","< 1 year","0",,,28440,4004393,710.2
,"2005","2005","1 year","1","Female","F",827,1950494,42.4
,"2005","2005","1 year","1","Male","M",1088,2036538,53.4
"Total","2005","2005","1 year","1",,,1915,3987032,48.0
,"2005","2005","2 years","2","Female","F",506,1932337,26.2
,"2005","2005","2 years","2","Male","M",738,2020295,36.5
"Total","2005","2005","2 years","2",,,1244,3952632,31.5
,"2005","2005","3 years","3","Female","F",354,1930395,18.3
,"2005","2005","3 years","3","Male","M",521,2012820,25.9
"Total","2005","2005","3 years","3",,,875,3943215,22.2
,"2005","2005","4 years","4","Female","F",304,1971897,15.4
,"2005","2005","4 years","4","Male","M",418,2058231,20.3
"Total","2005","2005","4 years","4",,,722,4030128,17.9
,"2005","2005","5 years","5","Female","F",260,1901483,13.7
,"2005","2005","5 years","5","Male","M",336,1991645,16.9
"Total","2005","2005","5 years","5",,,596,3893128,15.3
,"2005","2005","6 years","6","Female","F",288,1871697,15.4
,"2005","2005","6 years","6","Male","M",331,1956456,16.9
"Total","2005","2005","6 years","6",,,619,3828153,16.2
,"2005","2005","7 years","7","Female","F",257,1876179,13.7
,"2005","2005","7 years","7","Male","M",290,1962661,14.8
"Total","2005","2005","7 years","7",,,547,3838840,14.2
,"2005","2005","8 years","8","Female","F",235,1888355,12.4
,"2005","2005","8 years","8","Male","M",295,1973522,14.9
"Total","2005","2005","8 years","8",,,530,3861877,13.7
,"2005","2005","9 years","9","Female","F",241,1936186,12.4
,"2005","2005","9 years","9","Male","M",304,2030883,15.0
"Total","2005","2005","9 years","9",,,545,3967069,13.7
,"2005","2005","10 years","10","Female","F",223,2024518,11.0
,"2005","2005","10 years","10","Male","M",286,2125604,13.5
"Total","2005","2005","10 years","10",,,509,4150122,12.3
,"2005","2005","11 years","11","Female","F",244,2024711,12.1
,"2005","2005","11 years","11","Male","M",357,2124517,16.8
"Total","2005","2005","11 years","11",,,601,4149228,14.5
,"2005","2005","12 years","12","Female","F",268,2072265,12.9
,"2005","2005","12 years","12","Male","M",379,2178897,17.4
"Total","2005","2005","12 years","12",,,647,4251162,15.2
,"2005","2005","13 years","13","Female","F",317,2104267,15.1
,"2005","2005","13 years","13","Male","M",532,2204584,24.1
"Total","2005","2005","13 years","13",,,849,4308851,19.7
,"2005","2005","14 years","14","Female","F",416,2122621,19.6
,"2005","2005","14 years","14","Male","M",743,2230595,33.3
"Total","2005","2005","14 years","14",,,1159,4353216,26.6
,"2005","2005","15 years","15","Female","F",486,2168521,22.4
,"2005","2005","15 years","15","Male","M",1028,2288448,44.9
"Total","2005","2005","15 years","15",,,1514,4456969,34.0
,"2005","2005","16 years","16","Female","F",676,2094194,32.3
,"2005","2005","16 years","16","Male","M",1430,2213951,64.6
"Total","2005","2005","16 years","16",,,2106,4308145,48.9
,"2005","2005","17 years","17","Female","F",811,2055847,39.4
,"2005","2005","17 years","17","Male","M",1949,2183662,89.3
"Total","2005","2005","17 years","17",,,2760,4239509,65.1
,"2005","2005","18 years","18","Female","F",905,2050714,44.1
,"2005","2005","18 years","18","Male","M",2549,2174412,117.2
"Total","2005","2005","18 years","18",,,3454,4225126,81.7
,"2005","2005","19 years","19","Female","F",939,2065513,45.5
,"2005","2005","19 years","19","Male","M",2930,2190952,133.7
"Total","2005","2005","19 years","19",,,3869,4256465,90.9
,"2005","2005","20 years","20","Female","F",928,2055521,45.1
,"2005","2005","20 years","20","Male","M",2931,2185676,134.1
"Total","2005","2005","20 years","20",,,3859,4241197,91.0
,"2005","2005","21 years","21","Female","F",954,2011168,47.4
,"2005","2005","21 years","21","Male","M",3223,2139490,150.6
"Total","2005","2005","21 years","21",,,4177,4150658,100.6
,"2005","2005","22 years","22","Female","F",991,2024927,48.9
,"2005","2005","22 years","22","Male","M",3198,2151169,148.7
"Total","2005","2005","22 years","22",,,4189,4176096,100.3
,"2005","2005","23 years","23","Female","F",1002,2046870,49.0
,"2005","2005","23 years","23","Male","M",3180,2136786,148.8
"Total","2005","2005","23 years","23",,,4182,4183656,100.0
,"2005","2005","24 years","24","Female","F",1033,2084320,49.6
,"2005","2005","24 years","24","Male","M",3091,2124028,145.5
"Total","2005","2005","24 years","24",,,4124,4208348,98.0
,"2005","2005","25 years","25","Female","F",1057,2090577,50.6
,"2005","2005","25 years","25","Male","M",3062,2115519,144.7
"Total","2005","2005","25 years","25",,,4119,4206096,97.9
,"2005","2005","26 years","26","Female","F",1030,1973649,52.2
,"2005","2005","26 years","26","Male","M",2976,1993073,149.3
"Total","2005","2005","26 years","26",,,4006,3966722,101.0
,"2005","2005","27 years","27","Female","F",1019,1927615,52.9
,"2005","2005","27 years","27","Male","M",2877,1942425,148.1
"Total","2005","2005","27 years","27",,,3896,3870040,100.7
,"2005","2005","28 years","28","Female","F",1120,1891577,59.2
,"2005","2005","28 years","28","Male","M",2740,1913949,143.2
"Total","2005","2005","28 years","28",,,3860,3805526,101.4
,"2005","2005","29 years","29","Female","F",1100,1829126,60.1
,"2005","2005","29 years","29","Male","M",2587,1857200,139.3
"Total","2005","2005","29 years","29",,,3687,3686326,100.0
,"2005","2005","30 years","30","Female","F",1226,1914556,64.0
,"2005","2005","30 years","30","Male","M",2714,1952025,139.0
"Total","2005","2005","30 years","30",,,3940,3866581,101.9
,"2005","2005","31 years","31","Female","F",1277,1845744,69.2
,"2005","2005","31 years","31","Male","M",2787,1859850,149.9
"Total","2005","2005","31 years","31",,,4064,3705594,109.7
,"2005","2005","32 years","32","Female","F",1486,1921927,77.3
,"2005","2005","32 years","32","Male","M",2958,1926111,153.6
"Total","2005","2005","32 years","32",,,4444,3848038,115.5
,"2005","2005","33 years","33","Female","F",1581,2015588,78.4
,"2005","2005","33 years","33","Male","M",3098,2019457,153.4
"Total","2005","2005","33 years","33",,,4679,4035045,116.0
,"2005","2005","34 years","34","Female","F",1746,2137339,81.7
,"2005","2005","34 years","34","Male","M",3484,2131340,163.5
"Total","2005","2005","34 years","34",,,5230,4268679,122.5
,"2005","2005","35 years","35","Female","F",1931,2176855,88.7
,"2005","2005","35 years","35","Male","M",3570,2200202,162.3
"Total","2005","2005","35 years","35",,,5501,4377057,125.7
,"2005","2005","36 years","36","Female","F",2063,2064403,99.9
,"2005","2005","36 years","36","Male","M",3583,2066098,173.4
"Total","2005","2005","36 years","36",,,5646,4130501,136.7
,"2005","2005","37 years","37","Female","F",2164,2028122,106.7
,"2005","2005","37 years","37","Male","M",3928,2016811,194.8
"Total","2005","2005","37 years","37",,,6092,4044933,150.6
,"2005","2005","38 years","38","Female","F",2405,2041731,117.8
,"2005","2005","38 years","38","Male","M",4225,2018877,209.3
"Total","2005","2005","38 years","38",,,6630,4060608,163.3
,"2005","2005","39 years","39","Female","F",2846,2100509,135.5
,"2005","2005","39 years","39","Male","M",4705,2085045,225.7
"Total","2005","2005","39 years","39",,,7551,4185554,180.4
,"2005","2005","40 years","40","Female","F",3157,2244129,140.7
,"2005","2005","40 years","40","Male","M",5437,2226254,244.2
"Total","2005","2005","40 years","40",,,8594,4470383,192.2
,"2005","2005","41 years","41","Female","F",3600,2295371,156.8
,"2005","2005","41 years","41","Male","M",5954,2258597,263.6
"Total","2005","2005","41 years","41",,,9554,4553968,209.8
,"2005","2005","42 years","42","Female","F",4039,2291530,176.3
,"2005","2005","42 years","42","Male","M",6734,2245748,299.9
"Total","2005","2005","42 years","42",,,10773,4537278,237.4
,"2005","2005","43 years","43","Female","F",4487,2301346,195.0
,"2005","2005","43 years","43","Male","M",7189,2258382,318.3
"Total","2005","2005","43 years","43",,,11676,4559728,256.1
,"2005","2005","44 years","44","Female","F",4784,2321347,206.1
,"2005","2005","44 years","44","Male","M",7984,2264181,352.6
"Total","2005","2005","44 years","44",,,12768,4585528,278.4
,"2005","2005","45 years","45","Female","F",5163,2352677,219.5
,"2005","2005","45 years","45","Male","M",8619,2314057,372.5
"Total","2005","2005","45 years","45",,,13782,4666734,295.3
,"2005","2005","46 years","46","Female","F",5623,2276013,247.1
,"2005","2005","46 years","46","Male","M",9091,2220792,409.4
"Total","2005","2005","46 years","46",,,14714,4496805,327.2
,"2005","2005","47 years","47","Female","F",6027,2283353,264.0
,"2005","2005","47 years","47","Male","M",9752,2228342,437.6
"Total","2005","2005","47 years","47",,,15779,4511695,349.7
,"2005","2005","48 years","48","Female","F",6478,2261293,286.5
,"2005","2005","48 years","48","Male","M",10491,2188567,479.4
"Total","2005","2005","48 years","48",,,16969,4449860,381.3
,"2005","2005","49 years","49","Female","F",6813,2183752,312.0
,"2005","2005","49 years","49","Male","M",11326,2108325,537.2
"Total","2005","2005","49 years","49",,,18139,4292077,422.6
,"2005","2005","50 years","50","Female","F",7250,2181791,332.3
,"2005","2005","50 years","50","Male","M",11933,2113557,564.6
"Total","2005","2005","50 years","50",,,19183,4295348,446.6
,"2005","2005","51 years","51","Female","F",7577,2112391,358.7
,"2005","2005","51 years","51","Male","M",12349,2026203,609.5
"Total","2005","2005","51 years","51",,,19926,4138594,481.5
,"2005","2005","52 years","52","Female","F",7840,2041805,384.0
,"2005","2005","52 years","52","Male","M",13341,1947260,685.1
"Total","2005","2005","52 years","52",,,21181,3989065,531.0
,"2005","2005","53 years","53","Female","F",8021,1980116,405.1
,"2005","2005","53 years","53","Male","M",13598,1891790,718.8
"Total","2005","2005","53 years","53",,,21619,3871906,558.4
,"2005","2005","54 years","54","Female","F",8266,1941338,425.8
,"2005","2005","54 years","54","Male","M",13972,1842482,758.3
"Total","2005","2005","54 years","54",,,22238,3783820,587.7
,"2005","2005","55 years","55","Female","F",8778,1923637,456.3
,"2005","2005","55 years","55","Male","M",14622,1824610,801.4
"Total","2005","2005","55 years","55",,,23400,3748247,624.3
,"2005","2005","56 years","56","Female","F",9364,1863943,502.4
,"2005","2005","56 years","56","Male","M",14965,1761297,849.7
"Total","2005","2005","56 years","56",,,24329,3625240,671.1
,"2005","2005","57 years","57","Female","F",10221,1842786,554.6
,"2005","2005","57 years","57","Male","M",16057,1739222,923.2
"Total","2005","2005","57 years","57",,,26278,3582008,733.6
,"2005","2005","58 years","58","Female","F",11305,1929365,585.9
,"2005","2005","58 years","58","Male","M",17318,1819296,951.9
"Total","2005","2005","58 years","58",,,28623,3748661,763.6
,"2005","2005","59 years","59","Female","F",9822,1448128,678.3
,"2005","2005","59 years","59","Male","M",15026,1350936,1112.3
"Total","2005","2005","59 years","59",,,24848,2799064,887.7
,"2005","2005","60 years","60","Female","F",10360,1433435,722.7
,"2005","2005","60 years","60","Male","M",15690,1330174,1179.5
"Total","2005","2005","60 years","60",,,26050,2763609,942.6
,"2005","2005","61 years","61","Female","F",11446,1428216,801.4
,"2005","2005","61 years","61","Male","M",16640,1316923,1263.6
"Total","2005","2005","61 years","61",,,28086,2745139,1023.1
,"2005","2005","62 years","62","Female","F",13032,1475790,883.1
,"2005","2005","62 years","62","Male","M",18863,1351274,1395.9
"Total","2005","2005","62 years","62",,,31895,2827064,1128.2
,"2005","2005","63 years","63","Female","F",12736,1310319,972.0
,"2005","2005","63 years","63","Male","M",18144,1188493,1526.6
"Total","2005","2005","63 years","63",,,30880,2498812,1235.8
,"2005","2005","64 years","64","Female","F",12808,1212791,1056.1
,"2005","2005","64 years","64","Male","M",18104,1090862,1659.6
"Total","2005","2005","64 years","64",,,30912,2303653,1341.9
,"2005","2005","65 years","65","Female","F",13226,1183371,1117.7
,"2005","2005","65 years","65","Male","M",18307,1057487,1731.2
"Total","2005","2005","65 years","65",,,31533,2240858,1407.2
,"2005","2005","66 years","66","Female","F",13977,1121292,1246.5
,"2005","2005","66 years","66","Male","M",18813,1000448,1880.5
"Total","2005","2005","66 years","66",,,32790,2121740,1545.4
,"2005","2005","67 years","67","Female","F",14804,1102944,1342.2
,"2005","2005","67 years","67","Male","M",19971,971691,2055.3
"Total","2005","2005","67 years","67",,,34775,2074635,1676.2
,"2005","2005","68 years","68","Female","F",15415,1040489,1481.5
,"2005","2005","68 years","68","Male","M",20150,904790,2227.0
"Total","2005","2005","68 years","68",,,35565,1945279,1828.3
,"2005","2005","69 years","69","Female","F",16402,1021404,1605.8
,"2005","2005","69 years","69","Male","M",21171,874711,2420.3
"Total","2005","2005","69 years","69",,,37573,1896115,1981.6
,"2005","2005","70 years","70","Female","F",17757,1016272,1747.3
,"2005","2005","70 years","70","Male","M",22745,857454,2652.6
"Total","2005","2005","70 years","70",,,40502,1873726,2161.6
,"2005","2005","71 years","71","Female","F",18588,937061,1983.6
,"2005","2005","71 years","71","Male","M",23027,781306,2947.2
"Total","2005","2005","71 years","71",,,41615,1718367,2421.8
,"2005","2005","72 years","72","Female","F",19942,935793,2131.0
,"2005","2005","72 years","72","Male","M",24506,765167,3202.7
"Total","2005","2005","72 years","72",,,44448,1700960,2613.1
,"2005","2005","73 years","73","Female","F",21848,925511,2360.6
,"2005","2005","73 years","73","Male","M",26520,746001,3555.0
"Total","2005","2005","73 years","73",,,48368,1671512,2893.7
,"2005","2005","74 years","74","Female","F",23589,914432,2579.6
,"2005","2005","74 years","74","Male","M",27597,724073,3811.4
"Total","2005","2005","74 years","74",,,51186,1638505,3123.9
,"2005","2005","75 years","75","Female","F",25377,920144,2757.9
,"2005","2005","75 years","75","Male","M",29290,709619,4127.6
"Total","2005","2005","75 years","75",,,54667,1629763,3354.3
,"2005","2005","76 years","76","Female","F",27241,872922,3120.7
,"2005","2005","76 years","76","Male","M",29912,662437,4515.4
"Total","2005","2005","76 years","76",,,57153,1535359,3722.5
,"2005","2005","77 years","77","Female","F",29705,864332,3436.8
,"2005","2005","77 years","77","Male","M",32418,637311,5086.7
"Total","2005","2005","77 years","77",,,62123,1501643,4137.0
,"2005","2005","78 years","78","Female","F",32329,838488,3855.6
,"2005","2005","78 years","78","Male","M",33317,600987,5543.7
"Total","2005","2005","78 years","78",,,65646,1439475,4560.4
,"2005","2005","79 years","79","Female","F",34122,803370,4247.4
,"2005","2005","79 years","79","Male","M",34177,553999,6169.1
"Total","2005","2005","79 years","79",,,68299,1357369,5031.7
,"2005","2005","80 years","80","Female","F",37197,785122,4737.7
,"2005","2005","80 years","80","Male","M",35000,520539,6723.8
"Total","2005","2005","80 years","80",,,72197,1305661,5529.5
,"2005","2005","81 years","81","Female","F",38715,742630,5213.2
,"2005","2005","81 years","81","Male","M",35559,475653,7475.8
"Total","2005","2005","81 years","81",,,74274,1218283,6096.6
,"2005","2005","82 years","82","Female","F",40121,683339,5871.3
,"2005","2005","82 years","82","Male","M",35276,426417,8272.7
"Total","2005","2005","82 years","82",,,75397,1109756,6794.0
,"2005","2005","83 years","83","Female","F",42586,648391,6568.0
,"2005","2005","83 years","83","Male","M",35549,390040,9114.2
"Total","2005","2005","83 years","83",,,78135,1038431,7524.3
,"2005","2005","84 years","84","Female","F",44037,595097,7400.0
,"2005","2005","84 years","84","Male","M",34737,343965,10099.0
"Total","2005","2005","84 years","84",,,78774,939062,8388.6
,"2005","2005","85 years","85","Female","F",44044,Not Applicable,Not Applicable
,"2005","2005","85 years","85","Male","M",33016,Not Applicable,Not Applicable
"Total","2005","2005","85 years","85",,,77060,Not Applicable,Not Applicable
,"2005","2005","86 years","86","Female","F",42471,Not Applicable,Not Applicable
,"2005","2005","86 years","86","Male","M",29462,Not Applicable,Not Applicable
"Total","2005","2005","86 years","86",,,71933,Not Applicable,Not Applicable
,"2005","2005","87 years","87","Female","F",42701,Not Applicable,Not Applicable
,"2005","2005","87 years","87","Male","M",28509,Not Applicable,Not Applicable
"Total","2005","2005","87 years","87",,,71210,Not Applicable,Not Applicable
,"2005","2005","88 years","88","Female","F",41824,Not Applicable,Not Applicable
,"2005","2005","88 years","88","Male","M",25669,Not Applicable,Not Applicable
"Total","2005","2005","88 years","88",,,67493,Not Applicable,Not Applicable
,"2005","2005","89 years","89","Female","F",40546,Not Applicable,Not Applicable
,"2005","2005","89 years","89","Male","M",23156,Not Applicable,Not Applicable
"Total","2005","2005","89 years","89",,,63702,Not Applicable,Not Applicable
,"2005","2005","90 years","90","Female","F",39561,Not Applicable,Not Applicable
,"2005","2005","90 years","90","Male","M",20711,Not Applicable,Not Applicable
"Total","2005","2005","90 years","90",,,60272,Not Applicable,Not Applicable
,"2005","2005","91 years","91","Female","F",36733,Not Applicable,Not Applicable
,"2005","2005","91 years","91","Male","M",17777,Not Applicable,Not Applicable
"Total","2005","2005","91 years","91",,,54510,Not Applicable,Not Applicable
,"2005","2005","92 years","92","Female","F",33645,Not Applicable,Not Applicable
